year,month,day,time,dayOfYear,satellite,Erlin,Sanchong,Sanyi,Tucheng,Shilin,Datong,Dali,Dayuan,Daliao,Xiaogang,Zhongshan,Zhongli,Renwu,Douliu,Dongshan,Guting,Zuoying,Pingzhen,Yonghe,Annan,Puzi,Xizhi,Zhushan,Zhudong,Xitun,Shalu,Yilan,Zhongming,Songshan,Banqiao,Linkou,Linyuan,Hualien,Kinmen,Qianjin,Qianzhen,Nantou,Pingtung,Hengchun,Meinong,Miaoli,Puli,Taoyuan,Magong,Matsu,Keelung,Lunbei,Tamsui,Mailiao,Shanhua,Fuxing,Hukou,Cailiao,Yangming,Hsinchu,Xindian,Xinzhuang,Xingang,Xinying,Nanzi,Wanli,Wanhua,Chiayi,Changhua,Taixi,Taitung,Tainan,Fengshan,Chaozhou,Xianxi,Qiaotou,Toufen,Longtan,Fengyuan,Guanshan,Guanyin
2015,01,01,02:30,1,terra,0.37,.,0.074,.,.,.,0.344,.,.,.,.,.,.,0.749,.,.,0.473,.,.,0.865,0.649,.,0.626,0.269,.,.,.,.,.,.,.,.,.,.,0.473,.,0.513,0.648,.,0.369,0.114,0.095,.,.,.,.,0.641,.,0.513,0.726,.,0.597,.,.,0.597,.,.,0.757,0.729,.,.,.,0.731,.,0.513,.,0.865,0.473,0.694,.,.,.,.,0.094,.,.
2015,01,02,01:30,2,terra,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2015,01,02,01:35,2,terra,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2015,01,02,03:10,2,terra,-99999,.,-99999,.,.,.,-99999,.,-99999,-99999,.,.,-99999,-99999,.,.,-99999,.,.,-99999,-99999,.,-99999,.,-99999,-99999,.,-99999,.,.,.,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,.,-99999,0.217,.,-99999,.,-99999,-99999,-99999,.,.,.,.,.,.,-99999,-99999,-99999,.,.,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,.,.,-99999,-99999,.
2015,01,02,03:15,2,terra,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.842,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.805,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2015,01,03,02:15,3,terra,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-99999,.,.,.,.,.,.,-99999,.,.,.,.,.,.,.,.,0.183,.,.,.,.,.,0.183,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2015,01,03,02:20,3,terra,0.699,.,.,.,.,.,.,.,.,.,.,0.463,.,0.362,.,.,.,0.463,.,.,0.609,.,0.362,.,.,.,.,.,.,.,.,.,.,.,.,.,0.374,0.119,0.145,.,.,0.268,.,.,.,.,0.679,.,.,0.545,.,.,.,.,.,.,.,0.787,0.496,.,.,.,0.412,.,.,.,.,.,.,.,.,.,.,.,.,.
2015,01,04,01:20,4,terra,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2015,01,04,01:25,4,terra,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2015,01,04,03:00,4,terra,0.538,0.174,0.102,0.113,0.174,0.174,.,.,0.311,0.311,0.174,0.246,0.149,0.454,.,0.113,0.149,0.246,0.113,0.102,0.422,0.157,0.083,0.301,0.123,.,0.072,0.123,0.113,0.246,0.174,.,.,.,0.149,0.149,0.456,0.121,0.093,0.075,0.14,0.092,0.246,.,0.224,.,0.539,0.181,0.539,0.125,0.149,0.455,0.174,0.181,0.358,0.113,0.246,0.474,0.32,.,.,0.113,0.185,0.545,0.539,.,0.102,0.149,0.118,.,.,0.244,0.222,0.144,0.113,.
2015,01,05,02:05,5,terra,.,.,.,.,.,.,0.001,.,.,.,.,.,.,0.362,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.009,.,.,.,.,0.076,.,.,.,.,0.333,.,0.333,0.083,.,.,.,.,.,.,.,0.375,.,.,.,.,.,.,.,.,0.047,.,.,.,.,.,.,.,.,.
2015,01,06,01:10,6,terra,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2015,01,06,02:45,6,terra,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,.,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2015,01,06,02:50,6,terra,.,.,.,.,.,.,.,.,.,.,.,.,.,0.315,0.125,.,.,.,.,0.083,0.277,.,0.052,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.183,.,-0.05,.,.,0.298,.,0.413,.,.,0.083,.,.,.,.,.,.,.,0.277,0.268,.,.,.,0.071,.,.,.,.,.,0.239,.,.,.,.,.,-0.008,.
2015,01,07,01:50,7,terra,.,.,.,.,.,.,.,.,-99999,-99999,.,.,-99999,.,.,.,-99999,.,.,-99999,-99999,.,.,.,.,.,.,.,.,.,.,-99999,.,.,-99999,-99999,.,-99999,-99999,-99999,.,.,.,-99999,.,.,.,.,.,-99999,-99999,.,.,.,.,.,.,-99999,-99999,-99999,.,.,-99999,.,.,-99999,-99999,-99999,-99999,.,-99999,.,.,.,-99999,.
